hash,path,is_app,points,style_points,time,lines_added,lines_removed,files,message,timestamp
44a5c38f2ef94a64c00ae30c673de4baa7df5f94,.gtm/junit: registrationsystemtests.registernormal.app,True,0,0,26,0,0,1,sdfs,1617203125
9e03963810356656f577aa42d0b430a656f94095,.gtm/junit: tanktests.throwsfullwatertankexception.app,True,0,0,10,0,0,1,1,1615756527
e3d78b6a60a45ccc2406913340709ccdd8e2cdb8,.gtm/junit: all in ex07coffee.app,True,0,0,345,0,0,1,pr02datastructures v2.0,1617740033
31ae136fba01ca42052ac4b4563052b857019022,.gtm/application: morsefilescontroller.app,True,0,0,170,0,0,1,practice file reading,1617541043
2d358cc6104ea9808d26fa399aa7345d7c68baab,ex/ex06files,False,0,0,40,1,1,2,ex06,1615000482
dc19d0420561cf0175257039bf35deed2c6b928d,ex/ex05mysticorbs,False,12.6,1.0,90,1,1,1,first,1614267206
26abbf77e39340038a011fc45ef70f8bb004a92b,ex/ex01idcode,False,15.0,1.0,420,6,2,1,pr01,1611688778
e3d78b6a60a45ccc2406913340709ccdd8e2cdb8,.gtm/junit: trashcanexceptiontest.trashcanexceptiontest.app,True,0,0,8,0,0,1,pr02datastructures v2.0,1617740033
719305de70aadb1a82b4aa2db22792baf41aae6e,ex/ex06files,False,0,0,853,9,6,2,morse,1615296323
33f5a3c8f62f784934631bd28c547a20b1f89545,.gtm/junit: automaticmachinetest.testmakingcoffeewithautomaticmachineemptytankfulltrash.app,True,0,0,10,0,0,1,ex07,1617038923
dc19d0420561cf0175257039bf35deed2c6b928d,ex/ex08delivery,False,0,0,2149,4,1,6,trytry,1617971410
ce6ad7f7e93fdeab3c9dd302cd1a7545ebafe924,ex/ex06files,False,0,0,620,0,0,4,- initial commit,1615817608
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,ex/ex01idcode,False,15.0,1.0,60,2,3,1,added exception,1612295896
079515b37f4d26af417a48c7fbcdfd1bda8b12ce,.gtm/junit: socialnetworktest.app,True,0,0,132,0,0,1,pr && ex,1613479332
26abbf77e39340038a011fc45ef70f8bb004a92b,ex/ex13pokemon,False,20.0,1.0,20,2,1,1,ex13 - fixing style,1619644089
a4076a2bcf120779015e2aa34f816dea364e0c57,.gtm/junit: ee.taltech.iti0202.mysticorbs in ex05mysticorbs.app,True,0,0,925,0,0,1,parandused,1614794727
7142fa6d5ab879f62cfdc3d30dae8804518d5e4b,ex/ex06files,False,0,0,345,6,7,3,proov,1615243162
ce6ad7f7e93fdeab3c9dd302cd1a7545ebafe924,lx/lx05generics,False,10.0,1.0,269,5,6,1,logic changed in removing elements from map,1620478893
7142fa6d5ab879f62cfdc3d30dae8804518d5e4b,.gtm/application: painting.app,True,0,0,26,0,0,1,proov,1614271391
5e06bd9bce80b04b101fb0e14920444f5fe75ad6,.gtm/junit: feedtest.app,True,0,0,6,0,0,1,socialnetwork,1613753439
32472c07e5a895570c665fbe1d0e7a141f54a2d5,.gtm/junit: all in ex13pokemon.app,True,0,0,87,0,0,1,style fixes.,1619455077
5cb8a9dfc6fb53b6c070d0ac9d4ad4e0f382befb,.gtm/application: morsefilescontroller (1).app,True,0,0,520,0,0,1,ex06,1614552602
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,lx/lx03recursion,False,0.99,1.0,240,23,6,3,mall update,1618953676
a4076a2bcf120779015e2aa34f816dea364e0c57,ex/ex01idcode,False,14.4,1.0,2778,37,13,1,version 4.55,1613029961
cffaf3750341cee73be546d2d15e3a9bec8c5c5d,.gtm/junit: automaticcoffeemachinetest.app,True,0,0,12,0,0,1,ex07 hopefully last commit,1616359838
31ae136fba01ca42052ac4b4563052b857019022,.gtm/junit: booktest.testnotnullgetowner.app,True,0,0,8,0,0,1,just test,1613682341
db9c003daba43c4ac829e8a50f726a69a43f9e75,pr/pr06shelter,False,0,0,540,13,5,1,ex00 second try,1614647326
26abbf77e39340038a011fc45ef70f8bb004a92b,.gtm/junit: pokemontest.testfirst.app,True,0,0,106,0,0,1,ex13,1619635113
31ae136fba01ca42052ac4b4563052b857019022,pr/pr01introduction,False,5.0,1.0,590,8,3,1,fixing array,1612215063
719305de70aadb1a82b4aa2db22792baf41aae6e,tk/tk0,False,1.0,0.0,2268,0,0,1,tk1,1614271736
1b2b546d31fe5c8aee03fe57b801846423b53685,ex/ex03bookshelf,False,12.0,1.0,1401,18,15,2,fixed duplicate book?,1613608854
31ae136fba01ca42052ac4b4563052b857019022,.gtm/application: main.app,True,0,0,172,0,0,1,just test,1613673545
f8ce8c5a768ee94c031b0fce1a62e295688bc86b,ex/ex06files,False,0,0,3706,482,0,10,ex06 add tests,1614623998
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,ex/ex08delivery,False,0,0,198,1,1,2,delivery,1616929172
a4076a2bcf120779015e2aa34f816dea364e0c57,ex/ex06files,False,0,0,150,0,0,1,stream,1616831314
a4076a2bcf120779015e2aa34f816dea364e0c57,.gtm/junit: locationtest.testtostring.app,True,0,0,160,0,0,1,dummy,1617730733
32472c07e5a895570c665fbe1d0e7a141f54a2d5,tk/tk2,False,4.2,1.0,300,9,1,1,last exercise.,1614432443
db9c003daba43c4ac829e8a50f726a69a43f9e75,ex/ex06files,False,0,0,540,8,4,4,ex00 second try,1614727530
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,.gtm/gradle: gomokugui [patterns.main()].app,True,0,0,180,0,0,1,lx03,1618857046
f8ce8c5a768ee94c031b0fce1a62e295688bc86b,.gtm/junit: webbrowsertest.app,True,0,0,8,0,0,1,ex02 changed add to push,1612201451
d656fdd2fb0684f0bf1448645dca74b09473f9a1,tk/tk3,False,5.0,1.0,90,1,1,1,tk3 randomparking,1615893755
db9c003daba43c4ac829e8a50f726a69a43f9e75,pr/pr03ring,False,0,0,60,5,0,1,ex00 second try,1612881163
db9c003daba43c4ac829e8a50f726a69a43f9e75,.gtm/application: datastructures.app,True,0,0,75,0,0,1,ex00 second try,1612218380
5cb8a9dfc6fb53b6c070d0ac9d4ad4e0f382befb,kt/kt1,False,0,0,90,1,1,1,kt1,1617193292
dc19d0420561cf0175257039bf35deed2c6b928d,ex/ex14bookscraper,False,0,0,33110,555,0,19,appi,1620080957
cffaf3750341cee73be546d2d15e3a9bec8c5c5d,.gtm/application: morsefilescontroller.app,True,0,0,91,0,0,1,ex06,1615303563
e515278837da9a7c73923fde0b7a76b4ad67042a,ex/ex08delivery,False,0,0,180,5,6,1,base,1617726452
ce6ad7f7e93fdeab3c9dd302cd1a7545ebafe924,ex/ex11computerstore,False,20.0,1.0,180,1,1,1,try again,1618154158
a4076a2bcf120779015e2aa34f816dea364e0c57,tk/tk0,False,4.0,0.0,420,9,11,1,version 3.1,1614012281
5e06bd9bce80b04b101fb0e14920444f5fe75ad6,.gtm/junit: all in ex04socialnetwork (1).app,True,0,0,30,0,0,1,socialnetwork,1613753439
5cb8a9dfc6fb53b6c070d0ac9d4ad4e0f382befb,.gtm/junit: ee.taltech.iti0202.mysticorbs.storage in ex05mysticorbs.app,True,0,0,20,0,0,1,ex05,1614264741
5cb8a9dfc6fb53b6c070d0ac9d4ad4e0f382befb,pr/pr06shelter,False,0,0,60,2,2,1,pr06,1614473395
e515278837da9a7c73923fde0b7a76b4ad67042a,ex/ex08delivery,False,0,0,540,4,1,1,base,1617715208
079515b37f4d26af417a48c7fbcdfd1bda8b12ce,ex/ex05mysticorbs,False,13.8,1.0,45,4,4,1,pr && ex,1614175966
a4076a2bcf120779015e2aa34f816dea364e0c57,lx/lx02personstatistics,False,3.0,1.0,3690,337,0,5,personstatistics,1617279597
3fe61b42edbb25fcb90828dd6eb3cda3b1326b57,lx/lx03recursion,False,0.99,1.0,421,14,6,3,lx3,1620390751
db9c003daba43c4ac829e8a50f726a69a43f9e75,ex/ex11computerstore,False,20.0,1.0,2025,78,3,4,ex00 second try,1618245437
e06735c15c0ae70511269dc1df78703c80a5c1dd,pr/pr04stock,False,0,0,294,7,7,3,pr04,1614722000
33f5a3c8f62f784934631bd28c547a20b1f89545,.gtm/junit: testmorsefiles.app,True,0,0,100,0,0,1,ex06 tests,1615293287
2d358cc6104ea9808d26fa399aa7345d7c68baab,.gtm/junit: resourcestoragetest.app,True,0,0,1094,0,0,1,tk1,1614115020
cffaf3750341cee73be546d2d15e3a9bec8c5c5d,tk/tk4,False,4.1,1.0,240,11,8,1,ül 1,1616085684
31ae136fba01ca42052ac4b4563052b857019022,ex/ex01idcode,False,13.5,1.0,238,4,4,1,learning the language,1612385948
8fff7b3a00cbeba735f4d32a5f1d69f3ec715b4b,.gtm/junit: fixabletest.app,True,0,0,2427,0,0,1,ülesanne 1,1614269415
2d358cc6104ea9808d26fa399aa7345d7c68baab,.gtm/application: main.app,True,0,0,279,0,0,1,03_ex,1613069188
2d358cc6104ea9808d26fa399aa7345d7c68baab,kt/kt1,False,0,0,60,0,0,1,delivery strateegiad,1617575883
f8ce8c5a768ee94c031b0fce1a62e295688bc86b,pr/pr06shelter,False,0,0,361,5,15,3,pr06 dynamically remove existing items,1614472470
e5949847532a923d86c76e67d7eb373b83986892,.gtm/application: main.app,True,0,0,122,0,0,1,1,1613151838
33f5a3c8f62f784934631bd28c547a20b1f89545,ex/ex06files,False,0,0,960,16,3,1,ex06,1615238254
